Age group and rank,Cause of death,Number ,Per cent
1,"Certain conditions originating in the perinatal period, congenital malformations, deformations and chromosomal abnormalities (P00–P96, Q00–Q99 excl. P28.5)","2,348",78.8
2,"Other ill-defined causes (R00–R94, R96–R99, I46.9, I95.9, I99, J96.0, J96.9, P28.5)",202,6.8
3,Sudden infant death syndrome (SIDS) (R95),82,2.8
4,Accidental threats to breathing (W75–W84),31,1.0
5,Influenza and pneumonia (J09–J18),29,1.0
6,Cardiomyopathy (I42),21,0.7
7,Diseases of myoneural junction and muscle (G70–G73),21,0.7
8,"Selected metabolic disorders excl. dehydration (E70–E89 excl. E86, E87)",18,0.6
8,Other disorders of the nervous system (G90–G99),17,0.6
8,Spinal muscular atrophy and related syndromes (G12),17,0.6
11,Assault (X85–Y09),14,0.5
11,"Acute respiratory diseases excl. influenza and pneumonia (J00–J06, J20–J22)",12,0.4
13,"Meningitis (A39, G00–G03)",12,0.4
13,Septicaemia (A40–A41),11,0.4
15,Other viral diseases excl. mumps (B25–B34 excl. B26),10,0.3
15,Land transport accidents (V01–V89),9,0.3
15,"Benign neoplasms, in situ and uncertain behaviour (D00–D48)",9,0.3
18,Other diseases of the respiratory system (J95–J99 excl. J96),8,0.3
18,Exposure to unspecified factor (X59),7,0.2
20,Accidental drowning and submersion (W65–W74),7,0.2
20,"Epilepsy and status epilepticus (G40, G41)",7,0.2
20,,,
20,,,
20,,,
,Top 20 leading causes,"2,892",97.0
,All causes                                                                                                                                                                              ,"2,980",100.0
,,,
1–14,,,
1,Land transport accidents (V01–V89),153,11.1
2,"Certain conditions originating in the perinatal period, congenital malformations, deformations and chromosomal abnormalities (P00–P96, Q00–Q99 excl. P28.5)",118,8.6
3,Brain cancer (C71),106,7.7
4,Accidental drowning and submersion (W65–W74),95,6.9
5,Leukaemia (C91–C95),66,4.8
6,"Other ill-defined causes (R00–R94, R96–R99, I46.9, I95.9, I99, J96.0, J96.9, P28.5)",62,4.5
7,"Selected metabolic disorders excl. dehydration (E70–E89 excl. E86, E87)",58,4.2
8,Suicide (X60–X84),53,3.8
